company_id,company_name,industry,size_range,hq_location
801,Atlanticus,Financial Services,51-200,"Atlanta, GA, US"
802,NetSuite,Software Development,1000+,"Austin, TX, US"
803,Agilysys,Software Development,501-1000,"Alpharetta, Georgia, US"
804,County of Santa Clara,Government Administration,1000+,"San Jose, CA, US"
805,Icahn School of Medicine at Mount Sinai,Hospitals and Health Care,501-1000,"New York, NY, US"
806,Match,Software Development,501-1000,"Dallas, Texas, US"
807,7-Eleven,Retail,1000+,"Irving, TX, US"
808,Zions Bancorporation,Banking,1000+,"Salt Lake City, Utah, US"
809,Schindler Group,Industrial Machinery Manufacturing,1000+,"Ebikon, 0, CH"
810,Schindler Elevator Corporation (U.S.),Industrial Machinery Manufacturing,1000+,"Morristown, NJ, US"
811,Brunswick Corporation,Manufacturing,1000+,"Mettawa, IL, US"
812,ePlus inc.,IT Services and IT Consulting,501-1000,"Herndon, VA, US"
813,Brady Corporation,Manufacturing,501-1000,"Milwaukee, WI, US"
814,FUJIFILM Holdings America Corporation,Executive Offices,1000+,"Valhalla, New York, US"
815,Fresche Solutions,IT Services and IT Consulting,51-200,"Montréal, Quebec, CA"
816,AMS,Human Resources Services,1000+,"London, United Kingdom, GB"
817,Thrivent,Financial Services,501-1000,"Minneapolis, MN, US"
818,Schwan's Company,Food and Beverage Manufacturing,501-1000,"Marshall, Minnesota, US"
819,The Herbert Wertheim UF Scripps Institute for Biomedical Innovation & Technology,Biotechnology Research,201-500,"0, 0, US"
820,CSX,Truck Transportation,1000+,"Jacksonville, FL, US"
821,Crain Communications,Book and Periodical Publishing,201-500,"Detroit, Michigan, US"
822,Oklahoma State University,Higher Education,501-1000,"Stillwater, OK, US"
823,Infogain,IT Services and IT Consulting,501-1000,"Los Gatos, CA, US"
824,QuinStreet,"Technology, Information and Internet",201-500,"Foster City, CA, US"
825,Landis+Gyr,"Appliances, Electrical, and Electronics Manufacturing",501-1000,"Cham, Zug, CH"
826,Safety-Kleen,Environmental Services,501-1000,"Richardson, TX, US"
827,Paul Hastings,Law Practice,501-1000,"Los Angeles, California, US"
828,Reed Smith LLP,Law Practice,501-1000,"Worldwide, 0, OO"
829,Sutherland,IT Services and IT Consulting,1000+,"Pittsford (Rochester), NY, US"
830,Marcus & Millichap,Real Estate,501-1000,"Calabasas, CA, US"
831,National Institute of Standards and Technology (NIST),Research Services,501-1000,"Gaithersburg, MD, US"
832,Dräger,Manufacturing,1000+,"Lübeck, Schleswig-Holstein, DE"
833,Tata Technologies,IT Services and IT Consulting,1000+,"Hinjawadi, Pune, Maharashtra, IN"
834,Russell Investments,Financial Services,501-1000,"Seattle, WA, US"
835,MSCI Inc.,Financial Services,501-1000,"New York, NY, US"
836,Federal Bureau of Investigation (FBI),Law Enforcement,1000+,"Washington, DC, US"
837,Oregon Department of Transportation,Government Administration,501-1000,"Salem, Oregon, US"
838,Altria,Manufacturing,501-1000,"Richmond, Virginia, US"
839,HARMAN International,Computers and Electronics Manufacturing,1000+,"Stamford, Connecticut, US"
840,Kofax,Software Development,501-1000,"Irvine, California, US"
841,ERM,Business Consulting and Services,501-1000,"London, 0, GB"
842,Loyola Medicine,Hospitals and Health Care,501-1000,"Maywood, IL, US"
843,Loyola University Chicago,Higher Education,501-1000,"Chicago, Illinois, US"
844,Microchip Technology Inc.,Semiconductor Manufacturing,1000+,"Chandler, AZ, US"
845,"Greyhound Lines, Inc.",Truck Transportation,501-1000,"Dallas, TX, US"
846,DaVita Kidney Care,Hospitals and Health Care,1000+,"Denver, CO, US"
847,Tetra Tech,Civil Engineering,1000+,"Pasadena, CA, US"
848,24 Hour Fitness,Wellness and Fitness Services,501-1000,"Carlsbad, CA, US"
849,UT Southwestern Medical Center,Hospitals and Health Care,1000+,"Dallas, Texas, US"
850,Airlines Reporting Corporation (ARC),Airlines and Aviation,51-200,"Arlington, Virginia, US"
851,Select Medical,Hospitals and Health Care,1000+,"Mechanicsburg, PA, US"
852,Boston Globe Media,Online Audio and Video Media,501-1000,"Boston, MA, US"
853,Ansys,Software Development,501-1000,"Canonsburg, PA, US"
854,"Connexity, Inc.",Software Development,51-200,"Santa Monica, California, US"
855,Gallagher,Insurance,1000+,"Rolling Meadows, IL, US"
856,SoftServe,IT Services and IT Consulting,1000+,"Austin, TX, US"
857,UMB Bank,Financial Services,501-1000,"Kansas City, MO, US"
858,Shure Incorporated,Computers and Electronics Manufacturing,501-1000,"Niles, IL, US"
